Month,Year,CityState,AffectedPop,Drs,NumReps,Revenue,VisitsEngaged
Mar,2018,AlbanyNY,85415.25,17,0,3424.5,2
Apr,2018,AlbanyNY,109385.2,20,0,5932.5,1
May,2018,AlbanyNY,138289.5,18,0,4483,5
June,2018,AlbanyNY,138354.25,19,0,4780.5,4
July,2018,AlbanyNY,108048.2,15,0,4554.5,2
Aug,2018,AlbanyNY,92329.5,18,0,4829.5,6
Sep,2018,AlbanyNY,100063.4,19,0,4120.5,15
Oct,2018,AlbanyNY,94214.25,22,0,5810.5,17
Nov,2018,AlbanyNY,96857.75,21,0,4003.5,17
Dec,2018,AlbanyNY,83774,16,0,3747,5
Jan,2019,AlbanyNY,84176,14,0,2885.5,6
Feb,2019,AlbanyNY,82562,23,0,4668,3
Mar,2019,AlbanyNY,95809.2,20,0,3319.5,6
Apr,2019,AlbanyNY,115137.75,15,0,4178.5,9
May,2019,AlbanyNY,152394.25,18,0,4666.5,21
June,2019,AlbanyNY,168480.4,21,0,4302.5,15
July,2019,AlbanyNY,129056,23,0,3453.5,7
Aug,2019,AlbanyNY,120185,22,0,4396,9
Sep,2019,AlbanyNY,119434,19,0,3021,23
Oct,2019,AlbanyNY,109975.75,16,0,3118.5,40
Nov,2019,AlbanyNY,101386.25,16,0,2510.5,16
Dec,2019,AlbanyNY,84205,18,0,2820,15
Jan,2020,AlbanyNY,79734,23,0,3827.2685,6
Feb,2020,AlbanyNY,83982.25,19,0,2911.0101,15
Mar,2020,AlbanyNY,95618.6,18,0,2606.7942,21
Mar,2018,AlbuquerqueNM,112513.75,20,0,9994,9
Apr,2018,AlbuquerqueNM,139189.6,22,0,8927,17
May,2018,AlbuquerqueNM,124386.5,26,0,9663.5,15
June,2018,AlbuquerqueNM,96055.25,23,0,6852.5,9
July,2018,AlbuquerqueNM,71905.8,23,0,5530.5,8
Aug,2018,AlbuquerqueNM,70761.5,22,0,8522.5,10
Sep,2018,AlbuquerqueNM,90394.6,27,0,4357,58
Oct,2018,AlbuquerqueNM,78826.25,24,0,6219,68
Nov,2018,AlbuquerqueNM,79337.75,21,0,3941.5,41
Dec,2018,AlbuquerqueNM,71240.4,22,0,4154.5,21
Jan,2019,AlbuquerqueNM,58933.5,23,0,4133,6
Feb,2019,AlbuquerqueNM,63449,15,0,7364.5,13
Mar,2019,AlbuquerqueNM,88735,25,0,6547,27
Apr,2019,AlbuquerqueNM,119556.75,19,0,7818,16
May,2019,AlbuquerqueNM,98219.5,24,0,6832,43
June,2019,AlbuquerqueNM,71006.8,21,0,7871.5,42
July,2019,AlbuquerqueNM,65021.25,27,0,8615,30
Aug,2019,AlbuquerqueNM,54369.25,25,0,4879,35
Sep,2019,AlbuquerqueNM,73379,25,0,7366.5,37
Oct,2019,AlbuquerqueNM,63524.25,22,0,7410.5,97
Nov,2019,AlbuquerqueNM,63870.25,23,0,4495,44
Dec,2019,AlbuquerqueNM,52354.8,23,0,5916.5,27
Jan,2020,AlbuquerqueNM,50694.75,27,0,5443.8959,37
Feb,2020,AlbuquerqueNM,60309.25,23,0,5707.374,41
Mar,2020,AlbuquerqueNM,81589.6,27,0,5026.3005,76
Mar,2018,AtlantaGA,298941.5,159,4,54539,41
Apr,2018,AtlantaGA,431734.6,150,4,65656,87
May,2018,AtlantaGA,385225.5,137,4,52715.5,152
June,2018,AtlantaGA,264407.25,144,4,56968,92
July,2018,AtlantaGA,214890.2,130,4,52462.5,70
Aug,2018,AtlantaGA,227521,139,4,60815.5,148
Sep,2018,AtlantaGA,260360.4,151,4,53028,339
Oct,2018,AtlantaGA,245985.75,136,4,60527.5,606
Nov,2018,AtlantaGA,245516.5,141,4,53657.5,443
Dec,2018,AtlantaGA,210602.2,136,4,55503.5,216
Jan,2019,AtlantaGA,198661,135,4,60438,149
Feb,2019,AtlantaGA,220768.5,150,4,62397,201
Mar,2019,AtlantaGA,284752.6,153,4,61987,355
Apr,2019,AtlantaGA,384563.75,158,4,72073.5,264
May,2019,AtlantaGA,323275.5,152,4,59672,384
June,2019,AtlantaGA,228601.8,147,4,57185.5,502
July,2019,AtlantaGA,194123.25,143,4,65034.5,308
Aug,2019,AtlantaGA,218620,143,4,71065,304
Sep,2019,AtlantaGA,261079.2,149,4,69150,533
Oct,2019,AtlantaGA,231409.25,149,4,66935.5,803
Nov,2019,AtlantaGA,219392.5,140,4,54664.5,315
Dec,2019,AtlantaGA,207965.8,138,4,48740,235
Jan,2020,AtlantaGA,169831.25,150,4,55594.5997,410
Feb,2020,AtlantaGA,193439.25,134,4,62035.7886,467
Mar,2020,AtlantaGA,251845.6,147,4,52056.3026,898
Mar,2018,AustinTX,149705.75,163,0,68152.5,8
Apr,2018,AustinTX,189677.6,143,0,70575,20
May,2018,AustinTX,164971.75,154,0,66949.5,14
June,2018,AustinTX,130445.25,156,0,61366,4
July,2018,AustinTX,115231.6,141,0,57319.5,11
Aug,2018,AustinTX,103435.5,157,0,66810,24
Sep,2018,AustinTX,130635.4,155,0,50308,39
Oct,2018,AustinTX,129049.25,159,0,61881.5,55
Nov,2018,AustinTX,122482.25,146,0,58014,46
Dec,2018,AustinTX,131489.6,148,0,51015,25
Jan,2019,AustinTX,161593.25,147,0,59981,19
Feb,2019,AustinTX,122577.75,140,0,65094.5,20
Mar,2019,AustinTX,129271.6,153,0,70879,32
Apr,2019,AustinTX,166112.75,150,0,71757,32
May,2019,AustinTX,147029,143,0,70154,28
June,2019,AustinTX,120424.2,148,0,62942,87
July,2019,AustinTX,105135.25,163,0,68115,38
Aug,2019,AustinTX,109762.5,172,0,74210,54
Sep,2019,AustinTX,150447.2,163,0,60478.5,92
Oct,2019,AustinTX,146292.75,165,0,66418,159
Nov,2019,AustinTX,141103.75,163,0,59969.5,39
Dec,2019,AustinTX,140663.2,150,0,54648.5,51
Jan,2020,AustinTX,180549,154,0,68393.3534,54
Feb,2020,AustinTX,155197.5,162,0,64382.921,70
Mar,2020,AustinTX,159692.8,154,0,50800.3195,153
Mar,2018,BaltimoreMD,110146.75,128,2,27388.5,5
Apr,2018,BaltimoreMD,141451.4,129,2,26847.5,14
May,2018,BaltimoreMD,220421.5,117,2,32546,9
June,2018,BaltimoreMD,146505,110,2,26178.5,7
July,2018,BaltimoreMD,110187.2,115,2,24269.5,5
Aug,2018,BaltimoreMD,98817.25,133,2,25632.5,10
Sep,2018,BaltimoreMD,106262.8,121,2,25060,35
Oct,2018,BaltimoreMD,111162,129,2,26206,31
Nov,2018,BaltimoreMD,102240.75,112,2,24035,53
Dec,2018,BaltimoreMD,89631.2,111,2,22155.5,19
Jan,2019,BaltimoreMD,83333.5,118,2,22378,15
Feb,2019,BaltimoreMD,88676.5,118,2,22049,12
Mar,2019,BaltimoreMD,116303.8,128,2,24235.5,25
Apr,2019,BaltimoreMD,166863.5,123,2,23520,22
May,2019,BaltimoreMD,203927.5,132,2,28063,44
June,2019,BaltimoreMD,157532.4,120,2,23082,33
July,2019,BaltimoreMD,122835.25,124,2,20988,29
Aug,2019,BaltimoreMD,119334.75,122,2,23646,65
Sep,2019,BaltimoreMD,133727.4,100,2,20629,64
Oct,2019,BaltimoreMD,133888.5,119,2,19419,69
Nov,2019,BaltimoreMD,118830,104,2,16444.5,20
Dec,2019,BaltimoreMD,110629,103,2,16188.5,28
Jan,2020,BaltimoreMD,99491.5,107,2,18916.3885,26
Feb,2020,BaltimoreMD,107917.25,113,2,21136.9049,27
Mar,2020,BaltimoreMD,143067.4,114,2,19877.1353,62
Mar,2018,BangorME,18970.5,2,0,102.5,2
Apr,2018,BangorME,24742.8,5,0,531,1
May,2018,BangorME,26001,8,0,440.5,2
July,2018,BangorME,21087,5,0,90.5,2
Aug,2018,BangorME,18860,6,0,341,1
Sep,2018,BangorME,19787.6,2,0,344.5,2
Oct,2018,BangorME,18654.25,4,0,612.5,8
Nov,2018,BangorME,15696.75,3,0,448,2
Dec,2018,BangorME,14411.2,3,0,136,3
Jan,2019,BangorME,13855.25,1,0,255,2
Feb,2019,BangorME,14684,2,0,380.5,1
Mar,2019,BangorME,17573.2,2,0,288.5,3
Apr,2019,BangorME,19362,2,0,113.5,2
May,2019,BangorME,22538.25,3,0,992.5,3
June,2019,BangorME,21146.4,3,0,122.5,5
July,2019,BangorME,19154.5,2,0,171.5,1
Aug,2019,BangorME,16898.75,2,0,535,3
Sep,2019,BangorME,17910.2,2,0,242.5,6
Oct,2019,BangorME,16415.5,2,0,152,7
Nov,2019,BangorME,13365,1,0,75,3
Dec,2019,BangorME,11662.6,2,0,112.5,1
Jan,2020,BangorME,11694.5,16,0,872.0061,4
Feb,2020,BangorME,11883.25,6,0,699.0001,2
Mar,2020,BangorME,14401.2,18,0,1257.4448,5
Mar,2018,BillingsMT,7226.75,8,0,1622,1
Apr,2018,BillingsMT,8839.4,6,0,2251,1
May,2018,BillingsMT,12517,5,0,1182.5,2
June,2018,BillingsMT,13724.5,5,0,1771.5,1
July,2018,BillingsMT,11015,2,0,1350,2
Aug,2018,BillingsMT,9636.5,6,0,1824,3
Sep,2018,BillingsMT,10681.6,3,0,1041,9
Oct,2018,BillingsMT,9021.25,3,0,1565,6
Nov,2018,BillingsMT,8104.75,5,0,1500.5,5
Dec,2018,BillingsMT,7488.4,3,0,1540.5,3
Jan,2019,BillingsMT,6736.5,4,0,971,4
Feb,2019,BillingsMT,6950.75,6,0,1466,2
Mar,2019,BillingsMT,7813.8,6,0,1120,4
Apr,2019,BillingsMT,9798.25,4,0,921,4
May,2019,BillingsMT,13944.5,9,0,1992.5,7
June,2019,BillingsMT,12391.8,3,0,1303,7
July,2019,BillingsMT,12118.5,4,0,1277,8
Aug,2019,BillingsMT,11594.25,3,0,1359,9
Sep,2019,BillingsMT,11573.2,5,0,1662.5,10
Oct,2019,BillingsMT,9836.25,4,0,1941,13
Nov,2019,BillingsMT,8733.5,5,0,1856,3
Dec,2019,BillingsMT,7916.2,5,0,1687.5,5
Jan,2020,BillingsMT,7884.5,5,0,1413.8268,4
Feb,2020,BillingsMT,7815,8,0,1877.7191,4
Mar,2020,BillingsMT,9529,8,0,2111.9489,10
Mar,2018,BirminghamAL,85210.25,43,0,19099,6
Apr,2018,BirminghamAL,109574.4,37,0,16062,10
May,2018,BirminghamAL,102131,37,0,17209.5,13
June,2018,BirminghamAL,74866.75,40,0,15572,4
July,2018,BirminghamAL,68512.4,43,0,17125.5,5
Aug,2018,BirminghamAL,68180.75,35,0,18614.5,11
Sep,2018,BirminghamAL,77170.8,35,0,16378,28
Oct,2018,BirminghamAL,71148,28,0,16406.5,58
Nov,2018,BirminghamAL,69634.5,37,0,16710.5,52
Dec,2018,BirminghamAL,62389,31,0,18022.5,11
Jan,2019,BirminghamAL,58714.25,37,0,15875.5,9
Feb,2019,BirminghamAL,65372.5,31,0,15705.5,12
Mar,2019,BirminghamAL,69580.2,36,0,17408.5,21
Apr,2019,BirminghamAL,87891,39,0,20338,23
May,2019,BirminghamAL,78035,37,0,18747.5,46
June,2019,BirminghamAL,53014.6,33,0,19350.5,43
July,2019,BirminghamAL,44850,38,0,17321,35
Aug,2019,BirminghamAL,51937,44,0,22008.5,35
Sep,2019,BirminghamAL,63890.4,39,0,19437,56
Oct,2019,BirminghamAL,56787,35,0,19363,111
Nov,2019,BirminghamAL,54080.25,34,0,14708.5,40
Dec,2019,BirminghamAL,50538,35,0,15927,26
Jan,2020,BirminghamAL,45142.75,40,0,15655.3588,25
Feb,2020,BirminghamAL,50464.5,40,0,16790.3429,50
Mar,2020,BirminghamAL,60995.4,31,0,16973.921,57
Mar,2018,BoiseID,16610,13,0,989.5,5
Apr,2018,BoiseID,23243.4,11,0,952.5,4
May,2018,BoiseID,28897.5,16,0,872,6
June,2018,BoiseID,31349,13,0,627.5,3
July,2018,BoiseID,22366.2,11,0,770,4
Aug,2018,BoiseID,18725.5,12,0,1128.5,9
Sep,2018,BoiseID,19102.2,10,0,1090.5,11
Oct,2018,BoiseID,16909.25,14,0,1061,19
Nov,2018,BoiseID,14829.25,13,0,796.5,16
Dec,2018,BoiseID,14352.4,16,0,1362.5,7
Jan,2019,BoiseID,12626,17,0,1527.5,3
Feb,2019,BoiseID,13242.25,18,0,1518.5,6
Mar,2019,BoiseID,16932.8,14,0,1306,10
Apr,2019,BoiseID,22041,16,0,1388,8
May,2019,BoiseID,34539,16,0,1014.5,13
June,2019,BoiseID,29430.2,20,0,1280.5,32
July,2019,BoiseID,25077.25,14,0,1130.5,16
Aug,2019,BoiseID,21665,15,0,1256,16
Sep,2019,BoiseID,21663.4,17,0,1302,24
Oct,2019,BoiseID,19989.5,11,0,872.5,47
Nov,2019,BoiseID,18797.25,13,0,783.5,17
Dec,2019,BoiseID,19020.4,13,0,1295.5,22
Jan,2020,BoiseID,20190,15,0,1253.8442,9
Feb,2020,BoiseID,17707.25,15,0,1125.2419,22
Mar,2020,BoiseID,26787,19,0,1563.3603,46
Mar,2018,BostonMA,268850.25,22,0,15249.5,9
Apr,2018,BostonMA,409228.8,25,0,18164.5,11
May,2018,BostonMA,656896.25,23,0,19268.5,21
June,2018,BostonMA,600051.5,30,0,19319.5,25
July,2018,BostonMA,414760.8,32,0,17369.5,11
Aug,2018,BostonMA,374712.75,29,0,21369.5,37
Sep,2018,BostonMA,421176.2,27,0,17566,66
Oct,2018,BostonMA,368854.25,33,0,22358.5,57
Nov,2018,BostonMA,338897.5,26,0,19520.5,50
Dec,2018,BostonMA,291059.8,28,0,16772,21
Jan,2019,BostonMA,262193,26,1,18027.5,11
Feb,2019,BostonMA,264316.75,24,1,17723,16
Mar,2019,BostonMA,337585.4,30,1,22959.5,23
Apr,2019,BostonMA,483483.75,27,1,21599.5,27
May,2019,BostonMA,672392.75,28,1,23263.5,55
June,2019,BostonMA,742872.4,26,1,19338.5,70
July,2019,BostonMA,477219.5,27,1,18177,49
Aug,2019,BostonMA,374754,25,1,23683,48
Sep,2019,BostonMA,364654.2,29,1,20703.5,49
Oct,2019,BostonMA,315646,27,1,24511.5,93
Nov,2019,BostonMA,296291.25,31,1,23395.5,35
Dec,2019,BostonMA,267332.8,26,1,20189.5,31
Jan,2020,BostonMA,259282.5,37,1,20848.4151,43
Feb,2020,BostonMA,257287,37,1,20129.3452,34
Mar,2020,BostonMA,320100,33,1,15112.8205,34
Mar,2018,BuffaloNY,103690.75,27,0,5931,4
Apr,2018,BuffaloNY,125203.2,26,0,4917.5,8
May,2018,BuffaloNY,150686.25,35,0,8125.5,15
