DateModified,Country,Adobe_Unique Visitors,Adobe_Engaged Visits,Utilization_Tests,SearchTrend_Value,Email_Opens,Sales_Calls,Utilization_MemberCount
1/1/2020,Belgium,679,130,236007,14602925,60,45,65
1/1/2020,France,4731,1355,375399,99868472,55056,833,61
1/1/2020,Germany,4004,682,449344,124838074,14095,194,95
1/1/2020,United Kingdom,6240,1917,167730,219950675,22504,251,14
1/1/2020,Portugal,393,80,10342,15906866,1966,179,4
1/1/2020,Austria,689,128,122806,4287918,905,32,22
1/1/2020,Italy,3175,793,395454,90088120,27763,475,172
1/1/2020,Denmark,36,12,94016,6661033,546,17,28
1/1/2020,Finland,39,16,79362,13574763,1195,9,16
1/1/2020,Netherlands,106,49,51852,43008528,92,35,16
1/1/2020,Spain,735,251,178177,63118951,39792,367,41
1/1/2020,Sweden,80,26,99765,14138970,2086,27,26
1/1/2020,Switzerland,311,71,87918,13587757,346,23,24
1/1/2020,Czechia,16,4,36152,17776909,0,2,16
1/1/2020,Estonia,3,2,29761,2454090,0,0,7
1/1/2020,Norway,28,10,102343,5583878,1187,11,4
2/1/2020,Austria,523,177,122744,4805922,900,63,23
2/1/2020,Belgium,914,331,234818,15645992,17,58,63
2/1/2020,France,5565,2021,378106,117492320,22899,888,62
2/1/2020,Germany,3219,965,434842,143270541,6605,287,97
2/1/2020,United Kingdom,5168,1789,137963,211804354,18204,350,14
2/1/2020,Italy,3770,889,399434,104598959,2903,627,170
2/1/2020,Netherlands,120,25,50661,46092805,197,38,15
2/1/2020,Portugal,524,138,11163,22228825,6326,238,4
2/1/2020,Spain,754,227,187643,89769173,24237,687,41
2/1/2020,Sweden,156,79,108371,16764780,1626,80,27
2/1/2020,Switzerland,399,120,87795,15924505,317,58,23
2/1/2020,Czechia,21,4,32845,21310872,0,11,17
2/1/2020,Denmark,43,17,91020,6255578,514,10,29
2/1/2020,Finland,47,14,76473,11413882,642,4,15
2/1/2020,Norway,26,7,92124,6288639,947,11,4
2/1/2020,Estonia,14,8,26448,2095925,0,0,7
3/1/2020,Austria,3337,642,82240,6877935,891,87,23
3/1/2020,Belgium,3487,649,149108,23642830,127,53,63
3/1/2020,France,24936,4311,273804,182113096,323,473,63
3/1/2020,Germany,13057,2668,382322,203594980,6646,357,98
3/1/2020,United Kingdom,17799,4133,84869,240316478,43,246,14
