Date,Include?,Country,City,Utilization_Tests,Adobe_Engaged Visits,Adobe_Unique Visitors,SearchTrend_Value,Email_Opens,Sales_Calls,Utilization_InstCount,Utilization_MemberCount
1/1/2019,1,Austria,Wien,63031,21,63,2020102,0,9,15,6
1/1/2019,1,Austria,ST. PÖLTEN,687,0,0,22018,0,0,1,1
1/1/2019,1,Austria,SALZBURG,7928,3,8,254087,0,1,2,1
1/1/2019,1,Austria,Linz,10709,4,10,343216,0,1,4,2
1/1/2019,1,Austria,Stolzalpe,12623,4,13,404559,0,2,1,1
1/1/2019,1,Austria,FELDKIRCH,2941,1,3,94257,0,0,1,1
1/1/2019,1,Belgium,ANTWERPEN,18103,2,8,1146632,0,6,4,2
1/1/2019,1,Belgium,MERELBEKE,17078,2,8,1081709,0,6,4,2
1/1/2019,1,Belgium,HERENTALS,16616,2,8,1052446,0,6,2,1
1/1/2019,1,Belgium,STEENOKKERZEEL,40462,5,18,2562836,0,14,15,13
1/1/2019,1,Belgium,SINT-TRUIDEN,20044,2,9,1269573,0,7,6,3
1/1/2019,1,Belgium,BRUXELLES,3612,0,1,228782,0,1,1,1
1/1/2019,1,Belgium,FERNELMONT,8949,1,4,566824,0,3,2,1
1/1/2019,1,Belgium,OTTIGNIES,3960,0,1,250824,0,1,2,1
1/1/2019,1,Belgium,HEPPIGNIES,17606,2,8,1115152,0,6,3,2
1/1/2019,1,Belgium,LIEGE,9563,1,4,605714,0,3,4,3
1/1/2019,1,Belgium,HORNU,5510,1,3,349000,0,2,2,2
1/1/2019,1,Belgium,LOUVAIN-LA-NEUVE,12773,2,5,809033,0,5,2,1
1/1/2019,1,Belgium,AUDERGHEM,4027,0,1,255067,0,1,2,1
1/1/2019,1,Czechia,Brno,2085,0,0,1494205,0,0,3,1
1/1/2019,1,Czechia,Praha,16569,2,3,11874096,0,0,8,6
1/1/2019,1,Denmark,Allerød,11104,2,4,717034,0,0,6,3
1/1/2019,1,Denmark,SLAGELSE,3004,0,1,193981,0,0,2,1
1/1/2019,1,Denmark,KØBENHAVN Ø,5175,1,2,334172,0,0,3,2
1/1/2019,1,Denmark,HOLSTEBRO,3822,1,2,246803,0,0,2,1
1/1/2019,1,Denmark,SILKEBORG,7600,1,2,490765,0,0,3,1
1/1/2019,1,Denmark,ODENSE C,5907,1,2,381441,0,0,2,1
1/1/2019,1,Denmark,HVIDOVRE,7234,1,2,467131,0,0,3,1
1/1/2019,1,Denmark,Sønderborg,4933,1,2,318545,0,0,3,1
1/1/2019,1,Denmark,AALBORG,4666,1,2,301304,0,0,2,1
1/1/2019,1,Denmark,NYKØBING,4405,1,2,284450,0,0,2,1
1/1/2019,1,Denmark,AARHUS N,7060,1,2,455895,0,0,3,2
1/1/2019,1,Denmark,Kolding,3766,1,2,243187,0,0,1,1
1/1/2019,1,Denmark,Århus N,4466,1,2,288389,0,0,2,1
