Month,Year,CityState,AffectedPop,UV,Drs,NumReps,Revenue
Jan,2018,AlbanyNY,84622,0,18,0,3140.5
Feb,2018,AlbanyNY,80329.5,0,15,0,2874
Mar,2018,AlbanyNY,85415.25,3,17,0,3424.5
Apr,2018,AlbanyNY,109385.2,11,20,0,5932.5
May,2018,AlbanyNY,138289.5,13,18,0,4483
June,2018,AlbanyNY,138354.25,13,19,0,4780.5
July,2018,AlbanyNY,108048.2,16,15,0,4554.5
Aug,2018,AlbanyNY,92329.5,18,18,0,4829.5
Sep,2018,AlbanyNY,100063.4,47,19,0,4120.5
Oct,2018,AlbanyNY,94214.25,62,22,0,5810.5
Nov,2018,AlbanyNY,96857.75,41,21,0,4003.5
Dec,2018,AlbanyNY,83774,24,16,0,3747
Jan,2019,AlbanyNY,84176,21,14,0,2885.5
Feb,2019,AlbanyNY,82562,19,23,0,4668
Mar,2019,AlbanyNY,95809.2,45,20,0,3319.5
Apr,2019,AlbanyNY,115137.75,57,15,0,4178.5
May,2019,AlbanyNY,152394.25,109,18,0,4666.5
June,2019,AlbanyNY,168480.4,107,21,0,4302.5
July,2019,AlbanyNY,129056,58,23,0,3453.5
Aug,2019,AlbanyNY,120185,75,22,0,4396
Sep,2019,AlbanyNY,119434,164,19,0,3021
Oct,2019,AlbanyNY,109975.75,218,16,0,3118.5
Nov,2019,AlbanyNY,101386.25,74,16,0,2510.5
Dec,2019,AlbanyNY,84205,92,18,0,2820
Jan,2020,AlbanyNY,79734,20,23,0,3827.2685
Feb,2020,AlbanyNY,83982.25,70,19,0,2911.0101
Mar,2020,AlbanyNY,95618.6,102,18,0,2606.7942
Jan,2018,AlbuquerqueNM,77569.75,1,21,0,9330.5
Feb,2018,AlbuquerqueNM,84267,0,28,0,9694
Mar,2018,AlbuquerqueNM,112513.75,23,20,0,9994
Apr,2018,AlbuquerqueNM,139189.6,37,22,0,8927
May,2018,AlbuquerqueNM,124386.5,41,26,0,9663.5
June,2018,AlbuquerqueNM,96055.25,24,23,0,6852.5
July,2018,AlbuquerqueNM,71905.8,34,23,0,5530.5
Aug,2018,AlbuquerqueNM,70761.5,67,22,0,8522.5
Sep,2018,AlbuquerqueNM,90394.6,134,27,0,4357
Oct,2018,AlbuquerqueNM,78826.25,156,24,0,6219
Nov,2018,AlbuquerqueNM,79337.75,154,21,0,3941.5
Dec,2018,AlbuquerqueNM,71240.4,97,22,0,4154.5
Jan,2019,AlbuquerqueNM,58933.5,39,23,0,4133
Feb,2019,AlbuquerqueNM,63449,85,15,0,7364.5
Mar,2019,AlbuquerqueNM,88735,140,25,0,6547
Apr,2019,AlbuquerqueNM,119556.75,112,19,0,7818
May,2019,AlbuquerqueNM,98219.5,161,24,0,6832
June,2019,AlbuquerqueNM,71006.8,255,21,0,7871.5
July,2019,AlbuquerqueNM,65021.25,154,27,0,8615
Aug,2019,AlbuquerqueNM,54369.25,220,25,0,4879
Sep,2019,AlbuquerqueNM,73379,339,25,0,7366.5
Oct,2019,AlbuquerqueNM,63524.25,452,22,0,7410.5
Nov,2019,AlbuquerqueNM,63870.25,161,23,0,4495
Dec,2019,AlbuquerqueNM,52354.8,137,23,0,5916.5
